sku,name,type,price,description,order_id
JAF-003,the krautback,ItemType.JAFFLE,1200,lamb and pork bratwurst with house-pickled cabbage sauerkraut and mustard,201cc49b-27e4-4bb7-a270-cb896912be61
BEV-003,vanilla ice,ItemType.BEVERAGE,600,iced coffee with house-made french vanilla syrup,85e2ec8b-7fa3-4769-a428-b1b145d81dd7
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie,f6e61dc0-3f9b-47c1-acf4-dd6a65373303
BEV-002,chai and mighty,ItemType.BEVERAGE,500,oatmilk chai latte with protein boost,588a0ef5-04fa-4943-bfb9-bd3f5bb0f533
BEV-002,chai and mighty,ItemType.BEVERAGE,500,oatmilk chai latte with protein boost,8c6a3d3c-4586-486e-bf99-8c069fb29377
BEV-003,vanilla ice,ItemType.BEVERAGE,600,iced coffee with house-made french vanilla syrup,1066a56c-4c45-4b24-890e-3282b839b9f0
BEV-003,vanilla ice,ItemType.BEVERAGE,600,iced coffee with house-made french vanilla syrup,b3f735d2-eada-43af-9366-d222f06535b4
BEV-002,chai and mighty,ItemType.BEVERAGE,500,oatmilk chai latte with protein boost,b3f735d2-eada-43af-9366-d222f06535b4
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst",3093ad3c-5190-4701-bde0-8bc9de4b4f11
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst",3093ad3c-5190-4701-bde0-8bc9de4b4f11
BEV-004,for richer or pourover ,ItemType.BEVERAGE,700,daily selection of single estate beans for a delicious hot pourover,0b6f2dd6-e261-410c-b7a2-35374528ed2b
BEV-004,for richer or pourover ,ItemType.BEVERAGE,700,daily selection of single estate beans for a delicious hot pourover,0b6f2dd6-e261-410c-b7a2-35374528ed2b
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst",7cf41af7-cd08-424d-8b60-ff254d36b8a9
JAF-003,the krautback,ItemType.JAFFLE,1200,lamb and pork bratwurst with house-pickled cabbage sauerkraut and mustard,7cf41af7-cd08-424d-8b60-ff254d36b8a9
BEV-002,chai and mighty,ItemType.BEVERAGE,500,oatmilk chai latte with protein boost,25deda07-8384-406c-8590-58dd3e68fb9e
JAF-005,mel-bun,ItemType.JAFFLE,1200,"melon and minced beef bao, in a jaffle, savory and sweet",25deda07-8384-406c-8590-58dd3e68fb9e
BEV-003,vanilla ice,ItemType.BEVERAGE,600,iced coffee with house-made french vanilla syrup,d692b15d-b191-4869-af5b-a2c3e965a4b8
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie,d692b15d-b191-4869-af5b-a2c3e965a4b8
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie,af9b5201-5028-498a-aa96-72720429b503
JAF-003,the krautback,ItemType.JAFFLE,1200,lamb and pork bratwurst with house-pickled cabbage sauerkraut and mustard,af9b5201-5028-498a-aa96-72720429b503
BEV-002,chai and mighty,ItemType.BEVERAGE,500,oatmilk chai latte with protein boost,d1c43707-ecc9-4d1d-bc85-68a4df4f58ae
BEV-002,chai and mighty,ItemType.BEVERAGE,500,oatmilk chai latte with protein boost,d1c43707-ecc9-4d1d-bc85-68a4df4f58ae
JAF-002,doctor stew,ItemType.JAFFLE,1100,house-made beef stew jaffle,d1c43707-ecc9-4d1d-bc85-68a4df4f58ae
BEV-003,vanilla ice,ItemType.BEVERAGE,600,iced coffee with house-made french vanilla syrup,2f909a0a-e6a0-4f1c-9931-fb4867962dab
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie,2f909a0a-e6a0-4f1c-9931-fb4867962dab
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst",c9faab17-c699-4f61-80fd-0e38c7eeae22
JAF-002,doctor stew,ItemType.JAFFLE,1100,house-made beef stew jaffle,c9faab17-c699-4f61-80fd-0e38c7eeae22
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst",5c69f3c8-5397-4c50-a2e3-3931e6f776d0
BEV-002,chai and mighty,ItemType.BEVERAGE,500,oatmilk chai latte with protein boost,5c69f3c8-5397-4c50-a2e3-3931e6f776d0
JAF-001,nutellaphone who dis?,ItemType.JAFFLE,1100,nutella and banana jaffle,5c69f3c8-5397-4c50-a2e3-3931e6f776d0
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst",672ec31f-26a2-474d-ab56-ac81d412b4d8
BEV-004,for richer or pourover ,ItemType.BEVERAGE,700,daily selection of single estate beans for a delicious hot pourover,9112406a-36d7-4908-a985-20af13ec8759
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst",71a69eef-b05a-4038-98c3-5a9ea7eee4aa
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie,77de42a7-3007-471f-af9f-bc544e8f46f4
JAF-004,flame impala,ItemType.JAFFLE,1400,"pulled pork and pineapple al pastor marinated in ghost pepper sauce, kevin parker's favorite! ",77de42a7-3007-471f-af9f-bc544e8f46f4
JAF-001,nutellaphone who dis?,ItemType.JAFFLE,1100,nutella and banana jaffle,77de42a7-3007-471f-af9f-bc544e8f46f4
JAF-005,mel-bun,ItemType.JAFFLE,1200,"melon and minced beef bao, in a jaffle, savory and sweet",0253c0bb-27ee-4b78-ae60-f49479854d5c
JAF-003,the krautback,ItemType.JAFFLE,1200,lamb and pork bratwurst with house-pickled cabbage sauerkraut and mustard,0253c0bb-27ee-4b78-ae60-f49479854d5c
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst",a5246d50-6385-449e-bf7d-b56194e0b663
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst",0d7b914c-88c0-4f26-a575-7570e10370f1
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie,dee41611-721d-421a-b4ac-85bdf0ac58ae
JAF-003,the krautback,ItemType.JAFFLE,1200,lamb and pork bratwurst with house-pickled cabbage sauerkraut and mustard,dee41611-721d-421a-b4ac-85bdf0ac58ae
BEV-003,vanilla ice,ItemType.BEVERAGE,600,iced coffee with house-made french vanilla syrup,2be8d410-22ef-4cfd-bf13-903aa2cd74bd
BEV-002,chai and mighty,ItemType.BEVERAGE,500,oatmilk chai latte with protein boost,df08fa3a-1586-46f2-b6f9-736bfc952581
BEV-004,for richer or pourover ,ItemType.BEVERAGE,700,daily selection of single estate beans for a delicious hot pourover,1f65bfa3-349c-4ac1-8ff9-3248610a7ef8
BEV-003,vanilla ice,ItemType.BEVERAGE,600,iced coffee with house-made french vanilla syrup,399f7044-03e6-4f51-b970-eef5e1609cb2
BEV-003,vanilla ice,ItemType.BEVERAGE,600,iced coffee with house-made french vanilla syrup,caa2a39c-7aa6-4aa6-ad38-ee9d4d3e1ad3
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie,cebee475-1ab2-4228-b240-01c2bd63164b
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie,945b63bc-2fc9-4429-b4a3-63505bd7dea2
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst",7465898f-fb29-419a-88f2-d1d27f8b212e
JAF-002,doctor stew,ItemType.JAFFLE,1100,house-made beef stew jaffle,7465898f-fb29-419a-88f2-d1d27f8b212e
BEV-004,for richer or pourover ,ItemType.BEVERAGE,700,daily selection of single estate beans for a delicious hot pourover,c6be1a3d-26cf-4b37-a085-dcc60208cd9f
BEV-002,chai and mighty,ItemType.BEVERAGE,500,oatmilk chai latte with protein boost,c6be1a3d-26cf-4b37-a085-dcc60208cd9f
BEV-002,chai and mighty,ItemType.BEVERAGE,500,oatmilk chai latte with protein boost,23924bd6-b25f-4e53-9a26-214dff756612
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst",23924bd6-b25f-4e53-9a26-214dff756612
BEV-003,vanilla ice,ItemType.BEVERAGE,600,iced coffee with house-made french vanilla syrup,a40cc714-9e66-4a86-851b-75cbe9b2377f
BEV-002,chai and mighty,ItemType.BEVERAGE,500,oatmilk chai latte with protein boost,7a2240b2-b49e-4f9a-9b24-ba756463ae29
BEV-002,chai and mighty,ItemType.BEVERAGE,500,oatmilk chai latte with protein boost,ae50ca21-9019-4918-acb0-caf59330e307
BEV-004,for richer or pourover ,ItemType.BEVERAGE,700,daily selection of single estate beans for a delicious hot pourover,ae50ca21-9019-4918-acb0-caf59330e307
JAF-002,doctor stew,ItemType.JAFFLE,1100,house-made beef stew jaffle,ae50ca21-9019-4918-acb0-caf59330e307
JAF-004,flame impala,ItemType.JAFFLE,1400,"pulled pork and pineapple al pastor marinated in ghost pepper sauce, kevin parker's favorite! ",ae50ca21-9019-4918-acb0-caf59330e307
BEV-004,for richer or pourover ,ItemType.BEVERAGE,700,daily selection of single estate beans for a delicious hot pourover,cdb6b9b6-bdd2-4686-b0f9-8752c8146b1d
BEV-002,chai and mighty,ItemType.BEVERAGE,500,oatmilk chai latte with protein boost,cdb6b9b6-bdd2-4686-b0f9-8752c8146b1d
JAF-002,doctor stew,ItemType.JAFFLE,1100,house-made beef stew jaffle,cdb6b9b6-bdd2-4686-b0f9-8752c8146b1d
JAF-002,doctor stew,ItemType.JAFFLE,1100,house-made beef stew jaffle,cdb6b9b6-bdd2-4686-b0f9-8752c8146b1d
JAF-005,mel-bun,ItemType.JAFFLE,1200,"melon and minced beef bao, in a jaffle, savory and sweet",cdb6b9b6-bdd2-4686-b0f9-8752c8146b1d
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie,cd2f4227-cda3-412a-a64b-fbd0d3971989
JAF-004,flame impala,ItemType.JAFFLE,1400,"pulled pork and pineapple al pastor marinated in ghost pepper sauce, kevin parker's favorite! ",cd2f4227-cda3-412a-a64b-fbd0d3971989
BEV-002,chai and mighty,ItemType.BEVERAGE,500,oatmilk chai latte with protein boost,d439c518-3e1f-4ce0-a516-60f2a909134e
BEV-004,for richer or pourover ,ItemType.BEVERAGE,700,daily selection of single estate beans for a delicious hot pourover,2e00aa2e-62c8-4a37-91f9-db39159d14ea
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst",2e00aa2e-62c8-4a37-91f9-db39159d14ea
BEV-003,vanilla ice,ItemType.BEVERAGE,600,iced coffee with house-made french vanilla syrup,bea97ac9-cf14-4b4f-810c-f0794113e835
BEV-002,chai and mighty,ItemType.BEVERAGE,500,oatmilk chai latte with protein boost,3cddc076-2a00-409e-bb76-d8f1e9b5fa6c
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie,52ad28e2-f02c-48c9-9bce-a2f300a9baca
BEV-003,vanilla ice,ItemType.BEVERAGE,600,iced coffee with house-made french vanilla syrup,42f05132-ba4c-4b27-b269-2d282b80035d
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie,e29d0a79-d7ee-4555-ae59-e53603b97742
BEV-002,chai and mighty,ItemType.BEVERAGE,500,oatmilk chai latte with protein boost,4075143c-5394-4a30-b2f3-e7d29dc1b8bd
JAF-002,doctor stew,ItemType.JAFFLE,1100,house-made beef stew jaffle,4075143c-5394-4a30-b2f3-e7d29dc1b8bd
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie,de3ce482-5bb7-4a4c-99a3-83743c4c665e
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie,86c28e0a-4925-488f-8282-ed62589333c3
BEV-004,for richer or pourover ,ItemType.BEVERAGE,700,daily selection of single estate beans for a delicious hot pourover,86c28e0a-4925-488f-8282-ed62589333c3
JAF-004,flame impala,ItemType.JAFFLE,1400,"pulled pork and pineapple al pastor marinated in ghost pepper sauce, kevin parker's favorite! ",86c28e0a-4925-488f-8282-ed62589333c3
BEV-002,chai and mighty,ItemType.BEVERAGE,500,oatmilk chai latte with protein boost,ec1c4a8a-211d-4df6-ab17-008f0f162a31
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie,779a1c26-bca1-4357-bb4f-011f882ae82c
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst",bf0fca39-b3c6-43ac-8c1f-cbea8eecd2ae
BEV-002,chai and mighty,ItemType.BEVERAGE,500,oatmilk chai latte with protein boost,bf0fca39-b3c6-43ac-8c1f-cbea8eecd2ae
BEV-004,for richer or pourover ,ItemType.BEVERAGE,700,daily selection of single estate beans for a delicious hot pourover,1415dcf1-ead1-4994-a68c-ac5e557184d0
BEV-003,vanilla ice,ItemType.BEVERAGE,600,iced coffee with house-made french vanilla syrup,0c6879b9-7bb4-4c91-8da0-269a3e970fca
JAF-005,mel-bun,ItemType.JAFFLE,1200,"melon and minced beef bao, in a jaffle, savory and sweet",1d78af62-b9fc-4d64-9f33-ea09f3a7cd87
JAF-005,mel-bun,ItemType.JAFFLE,1200,"melon and minced beef bao, in a jaffle, savory and sweet",1d78af62-b9fc-4d64-9f33-ea09f3a7cd87
JAF-002,doctor stew,ItemType.JAFFLE,1100,house-made beef stew jaffle,1d78af62-b9fc-4d64-9f33-ea09f3a7cd87
JAF-001,nutellaphone who dis?,ItemType.JAFFLE,1100,nutella and banana jaffle,1d78af62-b9fc-4d64-9f33-ea09f3a7cd87
BEV-002,chai and mighty,ItemType.BEVERAGE,500,oatmilk chai latte with protein boost,1d78af62-b9fc-4d64-9f33-ea09f3a7cd87
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst",1d78af62-b9fc-4d64-9f33-ea09f3a7cd87
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst",1d78af62-b9fc-4d64-9f33-ea09f3a7cd87
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie,1d78af62-b9fc-4d64-9f33-ea09f3a7cd87
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie,3e0ec0d3-701a-46c0-9b0c-e9f9a1be4c1a
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst",72fbdd9a-de79-4e7e-992b-5801432f0d93
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie,8fe6b2b2-2232-43eb-a51a-f1a6da4f7abf
JAF-005,mel-bun,ItemType.JAFFLE,1200,"melon and minced beef bao, in a jaffle, savory and sweet",0e491244-b673-4d36-a196-b6e3172da36e
JAF-001,nutellaphone who dis?,ItemType.JAFFLE,1100,nutella and banana jaffle,0e491244-b673-4d36-a196-b6e3172da36e
JAF-001,nutellaphone who dis?,ItemType.JAFFLE,1100,nutella and banana jaffle,0e491244-b673-4d36-a196-b6e3172da36e
JAF-001,nutellaphone who dis?,ItemType.JAFFLE,1100,nutella and banana jaffle,0e491244-b673-4d36-a196-b6e3172da36e
JAF-004,flame impala,ItemType.JAFFLE,1400,"pulled pork and pineapple al pastor marinated in ghost pepper sauce, kevin parker's favorite! ",0e491244-b673-4d36-a196-b6e3172da36e
BEV-002,chai and mighty,ItemType.BEVERAGE,500,oatmilk chai latte with protein boost,0e491244-b673-4d36-a196-b6e3172da36e
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie,0e491244-b673-4d36-a196-b6e3172da36e
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst",0e491244-b673-4d36-a196-b6e3172da36e
BEV-004,for richer or pourover ,ItemType.BEVERAGE,700,daily selection of single estate beans for a delicious hot pourover,0e491244-b673-4d36-a196-b6e3172da36e
BEV-002,chai and mighty,ItemType.BEVERAGE,500,oatmilk chai latte with protein boost,0e491244-b673-4d36-a196-b6e3172da36e
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie,3e2d3d9f-39a9-4c01-9368-3260d04f30f2
BEV-003,vanilla ice,ItemType.BEVERAGE,600,iced coffee with house-made french vanilla syrup,67f910ab-e78c-475a-823e-ad070282aa8e
BEV-003,vanilla ice,ItemType.BEVERAGE,600,iced coffee with house-made french vanilla syrup,67f910ab-e78c-475a-823e-ad070282aa8e
JAF-001,nutellaphone who dis?,ItemType.JAFFLE,1100,nutella and banana jaffle,67f910ab-e78c-475a-823e-ad070282aa8e
BEV-002,chai and mighty,ItemType.BEVERAGE,500,oatmilk chai latte with protein boost,9f3a96fc-4e2a-42c2-9650-ffb3bda9129d
BEV-004,for richer or pourover ,ItemType.BEVERAGE,700,daily selection of single estate beans for a delicious hot pourover,619c375d-cffa-48d5-ba4b-82ee9fe9cc61
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst",619c375d-cffa-48d5-ba4b-82ee9fe9cc61
BEV-004,for richer or pourover ,ItemType.BEVERAGE,700,daily selection of single estate beans for a delicious hot pourover,c8a57453-4920-42fb-a95f-46acf02fa1bc
BEV-002,chai and mighty,ItemType.BEVERAGE,500,oatmilk chai latte with protein boost,5f6fffc9-cbf2-4b73-b5ff-2007cf355420
JAF-005,mel-bun,ItemType.JAFFLE,1200,"melon and minced beef bao, in a jaffle, savory and sweet",5f6fffc9-cbf2-4b73-b5ff-2007cf355420
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst",a4891d85-0f31-47df-aa9c-9fbb7bd315b4
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst",697d081f-c6fd-460c-bde7-a5bcb08c34f7
BEV-002,chai and mighty,ItemType.BEVERAGE,500,oatmilk chai latte with protein boost,190a8f4a-ad23-4893-875b-cec73753474f
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst",1d22456e-7dbe-4dec-9255-464e5133904c
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst",62b65bf8-08a0-4cc1-a21c-f77fb29f6ea0
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst",ef3d8648-bf02-454f-a25f-afc82781713d
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie,0b18b759-33a8-49fd-ae47-33072133eba5
BEV-004,for richer or pourover ,ItemType.BEVERAGE,700,daily selection of single estate beans for a delicious hot pourover,a681d544-5e71-4e07-a26c-db678d3ca1bf
JAF-005,mel-bun,ItemType.JAFFLE,1200,"melon and minced beef bao, in a jaffle, savory and sweet",a681d544-5e71-4e07-a26c-db678d3ca1bf
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst",0d27ccc0-d1f1-44f3-8ff5-c327996ff3f0
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie,0d27ccc0-d1f1-44f3-8ff5-c327996ff3f0
